name,terminology,code,term,name_orig
qcovid_CancerOfBloodOrBoneM,SNOMED,188738007,Granulocytic sarcoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,SNOMED,253546004,Left ventricular outflow tract obstruction (disorder),CongenitalHeartProblem
qcovid_BipolarDiseaseOrSchi,SNOMED,35252006,Disorganized schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_RheumatoidArthritisO,SNOMED,429192004,Rheumatoid arthritis of foot (disorder),RheumatoidArthritisOrSle
qcovid_CancerOfBloodOrBoneM,SNOMED,93189002,Malignant histiocytosis of spleen (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,93197009,Malignant lymphoma of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,95210003,Plasma cell leukemia disease (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,109988003,Histiocytic sarcoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_Dementia,SNOMED,13092008,Pick's disease (disorder),Dementia
qcovid_LungOrOralCancer,SNOMED,187637005,Malignant neoplasm of tongue tip and lateral border (disorder),LungOrOralCancer
qcovid_CongenitalHeartProbl,SNOMED,271573009,Congenital abnormality of thoracic aorta and pulmonary arteries (disorder),CongenitalHeartProblem
qcovid_CoronaryHeartDisease,SNOMED,394659003,Acute coronary syndrome (disorder),CoronaryHeartDisease
qcovid_LearningDisabilityOr,SNOMED,40700009,Severe intellectual disability (disorder),LearningDisabilityOrDownsSyndrome
qcovid_Diabetes,SNOMED,421986006,Persistent proteinuria due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_CongenitalHeartProbl,OPCS4,K068,Other specified other repair of transposition of great arteries,CongenitalHeartProblem
qcovid_TakingAntiLeukotrien,DMD,35515311000001106,Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,408155001,Product containing precisely sirolimus 2 milligram/1 each conventional release oral tablet (clinical drug),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,ICD10,C942,Acute megakaryoblastic leukaemia,CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,ICD10,F232,Acute schizophrenia-like psychotic disorder,BipolarDiseaseOrSchizophrenia
qcovid_BipolarDiseaseOrSchi,ICD10,F29,Unspecified nonorganic psychosis,BipolarDiseaseOrSchizophrenia
qcovid_CoronaryHeartDisease,ICD10,I23,Certain current complications following acute myocardial infarction,CoronaryHeartDisease
qcovid_StrokeOrTia,ICD10,I618,Other intracerebral haemorrhage,StrokeOrTia
qcovid_CysticFibrosisBronch,ICD10,J676,Maple-bark-stripper lung,CysticFibrosisBronchiectasisAlveolitis
qcovid_PriorFractureOfHipWr,ICD10,S7201,Fracture of neck of femur,PriorFractureOfHipWristSpineHumerus
qcovid_CongenitalHeartProbl,OPCS4,L018,Other specified open operations for combined abnormality of great vessels,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,L02,** first length 4 code ** Division of patent ductus ateriosus,CongenitalHeartProblem
qcovid_LungOrOralCancer,ICD10,C119,"Malignant neoplasm: Nasopharynx, unspecified",LungOrOralCancer
qcovid_LungOrOralCancer,ICD10,C343,"Malignant neoplasm: Lower lobe, bronchus or lung",LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,ICD10,C830,Small cell B-cell lymphoma,CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,ICD10,F204,Post-schizophrenic depression,BipolarDiseaseOrSchizophrenia
qcovid_CerebralPalsy,ICD10,G809,"Cerebral palsy, unspecified",CerebralPalsy
qcovid_RheumatoidArthritisO,ICD10,M0682,Other specified rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0686,Other specified rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_CancerOfBloodOrBoneM,ICD10,C913,Prolymphocytic leukaemia of B-cell type,CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,ICD10,C966,Unifocal Langerhans-cell histiocytosis,CancerOfBloodOrBoneMarrow
qcovid_Dementia,ICD10,F028,Dementia in other specified diseases classified elsewhere,Dementia
qcovid_PriorFractureOfHipWr,ICD10,S2210,Multiple fractures of thoracic spine,PriorFractureOfHipWristSpineHumerus
qcovid_PriorFractureOfHipWr,ICD10,S7200,Fracture of neck of femur,PriorFractureOfHipWristSpineHumerus
qcovid_SolidOrganTransplant,OPCS4,J013,Replacement of previous liver transplant,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,K041,Repair of tetralogy of fallot using valved right ventricular outflow conduit,CongenitalHeartProblem
qcovid_RadioTherapyInLast6M,OPCS4,Y362,Introduction of therapeutic implant into organ NOC,RadioTherapyInLast6Months
qcovid_StrokeOrTia,SNOMED,15258001,Subclavian steal syndrome (disorder),StrokeOrTia
qcovid_LiverCirrhosis,SNOMED,197291001,Unilobular portal cirrhosis (disorder),LiverCirrhosis
qcovid_BipolarDiseaseOrSchi,SNOMED,231485007,Post-schizophrenic depression (disorder),BipolarDiseaseOrSchizophrenia
qcovid_Diabetes,SNOMED,719216001,Hypoglycemic coma due to type 2 diabetes mellitus,Diabetes
qcovid_CancerOfBloodOrBoneM,SNOMED,847701000000108,Follicular lymphoma grade 3b (disorder),CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,OPCS4,L051,Creation of shunt to main pulmonary artery from ascending aorta using interposition tube prosthesis,CongenitalHeartProblem
qcovid_ChronicKidneyDisease,OPCS4,M018,Other specified transplantation of kidney,ChronicKidneyDisease
qcovid_RadioTherapyInLast6M,OPCS4,P064,Implantation of radioactive substance into vulva,RadioTherapyInLast6Months
qcovid_PrescribedImmunoSupp,DMD,11762911000001102,Lenalidomide 15mg capsules (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,38897411000001103,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler (product),TakingAntiLeukotrieneOrLaba
qcovid_SolidOrganTransplant,OPCS4,G269,Unspecified transplantation of stomach,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_CongenitalHeartProbl,OPCS4,L01,** first length 4 code ** Correction of persistent truncus arteriosus,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K203,Repair of cor triatriatum,CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,ICD10,C931,Chronic myelomonocytic leukaemia,CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,ICD10,F308,Other manic episodes,BipolarDiseaseOrSchizophrenia
qcovid_StrokeOrTia,ICD10,I610,"Intracerebral haemorrhage in hemisphere, subcortical",StrokeOrTia
qcovid_ChronicKidneyDisease,OPCS4,X403,Haemodialysis NEC,ChronicKidneyDisease
qcovid_RadioTherapyInLast6M,OPCS4,Y914,Megavoltage treatment for adaptive radiotherapy,RadioTherapyInLast6Months
qcovid_Dementia,ICD10,F018,Other vascular dementia,Dementia
qcovid_RheumatoidArthritisO,ICD10,M0693,"Rheumatoid arthritis, unspecified",RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,OPCS4,L07,** first length 4 code ** Creation of shunt to right pulmonary artery from right subclavian artery using interposition tube prosthesis,CongenitalHeartProblem
qcovid_CancerOfBloodOrBoneM,SNOMED,109965004,Diffuse non-Hodgkin's lymphoma lymphoblastic (disorder),CancerOfBloodOrBoneMarrow
qcovid_PriorFractureOfHipWr,SNOMED,203657009,Osteoporotic kyphosis (disorder),PriorFractureOfHipWristSpineHumerus
qcovid_Dementia,SNOMED,230285003,Vascular dementia of acute onset (disorder),Dementia
qcovid_CongenitalHeartProbl,SNOMED,253321003,Anomalous termination of right pulmonary vein (disorder),CongenitalHeartProblem
qcovid_Copd,SNOMED,313299006,Severe chronic obstructive pulmonary disease (disorder),Copd
qcovid_CoronaryHeartDisease,SNOMED,315026000,Transient myocardial ischemia (disorder),CoronaryHeartDisease
qcovid_LungOrOralCancer,SNOMED,363377003,Malignant tumor of lingual tonsil (disorder),LungOrOralCancer
qcovid_CongenitalHeartProbl,SNOMED,412787009,Intellectual disability congenital heart disease blepharophimosis blepharoptosis and hypoplastic teeth (disorder),CongenitalHeartProblem
qcovid_ChronicKidneyDisease,SNOMED,433144002,Chronic kidney disease stage 3 (disorder),ChronicKidneyDisease
qcovid_CoronaryHeartDisease,SNOMED,66189004,Postmyocardial infarction syndrome (disorder),CoronaryHeartDisease
qcovid_AtrialFibrillation,SNOMED,720448006,Typical atrial flutter (disorder),AtrialFibrillation
qcovid_TakingAntiLeukotrien,DMD,35912011000001109,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (product),TakingAntiLeukotrieneOrLaba
qcovid_CancerOfBloodOrBoneM,SNOMED,188511002,Burkitt tumor of intrathoracic lymph nodes,CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,SNOMED,204306007,Pentalogy of Fallot (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,204394002,Congenital anomaly of myocardium (disorder),CongenitalHeartProblem
qcovid_StrokeOrTia,SNOMED,307766002,Left sided cerebral infarction (disorder),StrokeOrTia
qcovid_LearningDisabilityOr,SNOMED,35919005,Pervasive developmental disorder (disorder),LearningDisabilityOrDownsSyndrome
qcovid_Diabetes,SNOMED,420662003,Coma due to diabetes mellitus (disorder),Diabetes
qcovid_MotorNeuroneDiseaseO,SNOMED,81211007,Primary lateral sclerosis (disorder),MotorNeuroneDiseaseOrMultipleSclerosisOrMyaestheniaOrHuntingtonsChorea
qcovid_ChronicKidneyDisease,SNOMED,950291000000103,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2 (disorder),ChronicKidneyDisease
qcovid_SolidOrganTransplant,OPCS4,J542,Transplantation of whole pancreas,SolidOrganTransplant/SolidOrganTransplantOrBoneMarrowTransplantInLast6Months
qcovid_TakingAntiLeukotrien,DMD,21019711000001107,Flutiform 250micrograms/dose / 10micrograms/dose inhaler (Napp Pharmaceuticals Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_TakingAntiLeukotrien,DMD,30950311000001106,AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,18044811000001100,Adoport 0.5mg capsules (Sandoz Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,19265711000001106,Ofatumumab 1g/50ml solution for infusion vials (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,209911000001103,Prograf 1mg capsules (Fujisawa Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,703791008,Product containing precisely pomalidomide 1 milligram/1 each conventional release oral capsule (clinical drug),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,7693411000001106,Alemtuzumab 30mg/3ml solution for injection ampoules (product),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,188732008,Myeloid leukemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_Diabetes,SNOMED,190331003,Hyperosmolar coma due to type 2 diabetes mellitus (disorder),Diabetes
qcovid_Dementia,SNOMED,191449005,Uncomplicated senile dementia (disorder),Dementia
qcovid_StrokeOrTia,SNOMED,195210002,Anterior cerebral artery syndrome (disorder),StrokeOrTia
qcovid_CoronaryHeartDisease,SNOMED,315025001,Refractory angina (disorder),CoronaryHeartDisease
qcovid_Epilepsy,SNOMED,413101007,Stress-induced epilepsy (disorder),Epilepsy
qcovid_BipolarDiseaseOrSchi,SNOMED,42868002,Subchronic catatonic schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,863781000000100,Clinical stage C chronic lymphocytic leukaemia (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,188558005,Hodgkin's disease lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_Epilepsy,SNOMED,230418006,Lennox-Gastaut syndrome (disorder),Epilepsy
qcovid_CoronaryHeartDisease,SNOMED,233846000,Post-infarction ventricular septal defect (disorder),CoronaryHeartDisease
qcovid_CoronaryHeartDisease,SNOMED,70211005,Acute myocardial infarction of anterolateral wall (disorder),CoronaryHeartDisease
qcovid_Copd,SNOMED,89549007,Catarrhal bronchitis (disorder),Copd
qcovid_LungOrOralCancer,SNOMED,93827000,Primary malignant neoplasm of hilus of lung (disorder),LungOrOralCancer
qcovid_TakingAntiLeukotrien,DMD,10073011000001107,Serevent 25microgram/actuation Evohaler (GlaxoSmithKline) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,35934711000001107,Rituximab 100mg/10ml solution for infusion vials (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,703794000,Product containing precisely pomalidomide 4 milligram/1 each conventional release oral capsule (clinical drug),PrescribedImmunoSuppressants
qcovid_RadioTherapyInLast6M,OPCS4,B022,Implantation of radioactive substance into pituitary gland,RadioTherapyInLast6Months
qcovid_PrescribedImmunoSupp,DMD,24856511000001109,Rituximab 1.4g/11.7ml solution for injection vials (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,25254711000001106,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,28335911000001108,Vanquoral 25mg capsules (Teva UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,3659911000001102,CellCept 250mg capsules (Roche Products Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,6741711000001104,Singulair Paediatric 4mg granules sachets (Organon Pharma (UK) Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_TakingAntiLeukotrien,DMD,21113911000001100,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose inhaler CFC free (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,34165611000001103,Truxima 500mg/50ml concentrate for solution for infusion vials (Celltrion Healthcare UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_CancerOfBloodOrBoneM,SNOMED,188524002,Hodgkin's paragranuloma of intrathoracic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,SNOMED,191569002,Subchronic schizoaffective schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_BipolarDiseaseOrSchi,SNOMED,191577003,Cenesthopathic schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_Diabetes,SNOMED,443694000,Type II diabetes mellitus uncontrolled (finding),Diabetes
qcovid_Epilepsy,SNOMED,84757009,Epilepsy (disorder),Epilepsy
qcovid_Copd,SNOMED,87433001,Pulmonary emphysema (disorder),Copd
qcovid_PrescribedImmunoSupp,DMD,19376911000001102,Capsorin 100mg capsules (Morningside Healthcare Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,35647511000001107,Fluticasone 125micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free (product),TakingAntiLeukotrieneOrLaba
qcovid_PrescribedImmunoSupp,DMD,4091411000001109,Rapamune 1mg tablets (Wyeth Laboratories) (product),PrescribedImmunoSuppressants
qcovid_BipolarDiseaseOrSchi,SNOMED,162004,Severe manic bipolar I disorder without psychotic features (disorder),BipolarDiseaseOrSchizophrenia
qcovid_BipolarDiseaseOrSchi,SNOMED,191595000,Recurrent manic episodes severe with psychosis (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CongenitalHeartProbl,SNOMED,204363002,Supernumerary cusps of the mitral valve (disorder),CongenitalHeartProblem
qcovid_LungOrOralCancer,SNOMED,363398003,Malignant tumor of lateral wall of nasopharynx (disorder),LungOrOralCancer
qcovid_CongenitalHeartProbl,OPCS4,K069,Unspecified other repair of transposition of great arteries,CongenitalHeartProblem
qcovid_CongenitalHeartProbl,OPCS4,K10,** first length 4 code ** Repair of defect of interatrial septum using prosthetic patch,CongenitalHeartProblem
qcovid_ChronicKidneyDisease,OPCS4,M013,Allotransplantation of kidney from cadaver NEC,ChronicKidneyDisease
qcovid_PrescribedImmunoSupp,DMD,24561811000001109,Lemtrada 12mg/1.2ml concentrate for solution for infusion vials (Sanofi Genzyme) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,34812111000001106,Fobumix 320/9 Easyhaler (Orion Pharma (UK) Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_HivOrAids,ICD10,B230,Acute HIV infection syndrome,HivOrAids
qcovid_LungOrOralCancer,ICD10,C001,Malignant neoplasm: External lower lip,LungOrOralCancer
qcovid_Diabetes,ICD10,E11,Type 2 diabetes mellitus,Diabetes
qcovid_Diabetes,ICD10,E140,Unspecified diabetes mellitus,Diabetes
qcovid_Epilepsy,ICD10,G407,"Petit mal, unspecified, without grand mal seizures",Epilepsy
qcovid_CoronaryHeartDisease,ICD10,I241,Dressler syndrome,CoronaryHeartDisease
qcovid_HeartFailure,ICD10,I500,Congestive heart failure,HeartFailure
qcovid_CancerOfBloodOrBoneM,ICD10,C817,Other (classical) Hodgkin lymphoma,CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,ICD10,C969,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",CancerOfBloodOrBoneMarrow
qcovid_StrokeOrTia,ICD10,G453,Amaurosis fugax,StrokeOrTia
qcovid_RheumatoidArthritisO,ICD10,M0591,"Seropositive rheumatoid arthritis, unspecified",RheumatoidArthritisOrSle
qcovid_CongenitalHeartProbl,ICD10,Q251,Coarctation of aorta,CongenitalHeartProblem
qcovid_LungOrOralCancer,ICD10,C031,Malignant neoplasm: Lower gum,LungOrOralCancer
qcovid_LungOrOralCancer,ICD10,C052,Malignant neoplasm: Uvula,LungOrOralCancer
qcovid_LungOrOralCancer,ICD10,C349,"Malignant neoplasm: Bronchus or lung, unspecified",LungOrOralCancer
qcovid_Dementia,ICD10,F01,Vascular dementia,Dementia
qcovid_Epilepsy,ICD10,G402,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,Epilepsy
qcovid_CongenitalHeartProbl,OPCS4,K11,** first length 4 code ** Repair of defect of interventricular septum using prosthetic patch,CongenitalHeartProblem
qcovid_ChronicKidneyDisease,OPCS4,X408,Other specified compensation for renal failure,ChronicKidneyDisease
qcovid_HivOrAids,ICD10,B238,HIV disease resulting in other specified conditions,HivOrAids
qcovid_RheumatoidArthritisO,ICD10,M0585,Other seropositive rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0586,Other seropositive rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0808,Juvenile rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_LearningDisabilityOr,ICD10,F72,Severe mental retardation,LearningDisabilityOrDownsSyndrome
qcovid_ChronicKidneyDisease,ICD10,N184,"Chronic kidney disease, stage 4",ChronicKidneyDisease
qcovid_CancerOfBloodOrBoneM,SNOMED,188551004,Hodgkin's sarcoma of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_CancerOfBloodOrBoneM,SNOMED,188649008,Leukemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_CysticFibrosisBronch,SNOMED,190909002,Cystic fibrosis with intestinal manifestations (disorder),CysticFibrosisBronchiectasisAlveolitis
qcovid_Dementia,SNOMED,191454001,Presenile dementia with paranoia (disorder),Dementia
qcovid_CongenitalHeartProbl,SNOMED,204395001,Congenital aneurysm of heart (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,204431007,Atresia and stenosis of aorta (disorder),CongenitalHeartProblem
qcovid_RheumatoidArthritisO,SNOMED,33719002,Subcutaneous rheumatoid nodule (disorder),RheumatoidArthritisOrSle
qcovid_Diabetes,SNOMED,49455004,Polyneuropathy due to diabetes mellitus (disorder),Diabetes
qcovid_Copd,SNOMED,77690003,Interstitial emphysema of lung (disorder),Copd
qcovid_CongenitalHeartProbl,SNOMED,78250005,Ectopia cordis (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,83799000,Corrected transposition of great vessels (disorder),CongenitalHeartProblem
qcovid_CysticFibrosisBronch,SNOMED,86092005,Cystic fibrosis with meconium ileus (disorder),CysticFibrosisBronchiectasisAlveolitis
qcovid_ChronicKidneyDisease,SNOMED,950231000000104,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3 (disorder),ChronicKidneyDisease
qcovid_PrescribedImmunoSupp,DMD,88611000001108,Sandimmun 250mg/5ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_PrescribedImmunoSupp,DMD,35035511000001109,Ilaris 150mg/1ml solution for injection vials (Novartis Pharmaceuticals UK Ltd) (product),PrescribedImmunoSuppressants
qcovid_TakingAntiLeukotrien,DMD,21113811000001105,Fluticasone 250micrograms/dose / Formoterol 10micrograms/dose inhaler CFC free (product),TakingAntiLeukotrieneOrLaba
qcovid_LungOrOralCancer,SNOMED,187653008,Malignant tumor of lateral floor of mouth (disorder),LungOrOralCancer
qcovid_PriorFractureOfHipWr,SNOMED,203450003,Osteoporotic fracture of lumbar vertebra (disorder),PriorFractureOfHipWristSpineHumerus
qcovid_CongenitalHeartProbl,SNOMED,204296002,Discordant ventriculoarterial connection (disorder),CongenitalHeartProblem
qcovid_CongenitalHeartProbl,SNOMED,204391005,Hypoplasia of cardiac vein (disorder),CongenitalHeartProblem
qcovid_CoronaryHeartDisease,SNOMED,233847009,Cardiac rupture due to and following acute myocardial infarction (disorder),CoronaryHeartDisease
qcovid_Diabetes,SNOMED,74627003,Complication due to diabetes mellitus (disorder),Diabetes
qcovid_CysticFibrosisBronch,SNOMED,77593006,Congenital bronchiectasis (disorder),CysticFibrosisBronchiectasisAlveolitis
qcovid_CancerOfBloodOrBoneM,SNOMED,93196000,Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_Diabetes,SNOMED,11530004,Brittle diabetes mellitus (finding),Diabetes
qcovid_CancerOfBloodOrBoneM,SNOMED,188630009,Sézary's disease of lymph nodes of head face and neck (disorder),CancerOfBloodOrBoneMarrow
qcovid_SevereCombinedImmuno,SNOMED,190981001,Selective immunoglobulin G deficiency (disorder),SevereCombinedImmunodeficiencySyndromeViaBool
qcovid_BipolarDiseaseOrSchi,SNOMED,191618007,Bipolar affective disorder current episode manic (disorder),BipolarDiseaseOrSchizophrenia
qcovid_StrokeOrTia,SNOMED,195201005,Multiple and bilateral precerebral artery syndromes (disorder),StrokeOrTia
qcovid_RheumatoidArthritisO,SNOMED,398726004,Rheumatoid lung disease (disorder),RheumatoidArthritisOrSle
qcovid_BipolarDiseaseOrSchi,SNOMED,53049002,Severe bipolar disorder without psychotic features (disorder),BipolarDiseaseOrSchizophrenia
qcovid_StrokeOrTia,SNOMED,71444005,Cerebral arterial thrombosis (disorder),StrokeOrTia
qcovid_CancerOfBloodOrBoneM,SNOMED,93194002,Malignant lymphoma of lymph nodes of axilla AND/OR upper limb (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,SNOMED,111482003,Subchronic schizophrenia with acute exacerbations (disorder),BipolarDiseaseOrSchizophrenia
qcovid_CancerOfBloodOrBoneM,SNOMED,118602004,Hodgkin's granuloma (disorder),CancerOfBloodOrBoneMarrow
qcovid_HeartFailure,SNOMED,134401001,Left ventricular systolic dysfunction (disorder),HeartFailure
qcovid_LungOrOralCancer,SNOMED,187601000,Malignant neoplasm of upper lip lipstick area (disorder),LungOrOralCancer
qcovid_Diabetes,SNOMED,190411003,Multiple complications due to malnutrition related diabetes (disorder),Diabetes
qcovid_CongenitalHeartProbl,SNOMED,237227006,Congenital heart disease in pregnancy (disorder),CongenitalHeartProblem
qcovid_LungOrOralCancer,SNOMED,254459004,Malignant tumor of anterior pillar of fauces (disorder),LungOrOralCancer
qcovid_CancerOfBloodOrBoneM,SNOMED,449220000,Diffuse follicle center lymphoma (disorder),CancerOfBloodOrBoneMarrow
qcovid_BipolarDiseaseOrSchi,SNOMED,760721000000109,Mixed bipolar affective disorder in partial remission (disorder),BipolarDiseaseOrSchizophrenia
qcovid_HeartFailure,SNOMED,84114007,Heart failure (disorder),HeartFailure
qcovid_TakingAntiLeukotrien,DMD,23661411000001103,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (product),TakingAntiLeukotrieneOrLaba
qcovid_TakingAntiLeukotrien,DMD,32960711000001105,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler (product),TakingAntiLeukotrieneOrLaba
qcovid_TakingAntiLeukotrien,DMD,9628711000001106,Atimos Modulite 12micrograms/actuation inhaler (Trinity-Chiesi Pharmaceuticals Ltd) (product),TakingAntiLeukotrieneOrLaba
qcovid_CoronaryHeartDisease,SNOMED,15990001,Acute myocardial infarction of posterolateral wall (disorder),CoronaryHeartDisease
qcovid_CancerOfBloodOrBoneM,SNOMED,188593003,Hodgkin's disease lymphocytic depletion of lymph nodes of multiple sites (disorder),CancerOfBloodOrBoneMarrow
qcovid_CoronaryHeartDisease,SNOMED,19057007,Status anginosus (disorder),CoronaryHeartDisease
qcovid_StrokeOrTia,SNOMED,195213000,Cerebellar stroke syndrome (disorder),StrokeOrTia
qcovid_RheumatoidArthritisO,SNOMED,287006005,Rheumatoid arthritis of multiple joints (disorder),RheumatoidArthritisOrSle
qcovid_BipolarDiseaseOrSchi,SNOMED,31658008,Chronic paranoid schizophrenia (disorder),BipolarDiseaseOrSchizophrenia
qcovid_HivOrAids,SNOMED,422003001,Cachexia associated with acquired immunodeficiency syndrome (finding),HivOrAids
qcovid_CancerOfBloodOrBoneM,SNOMED,93495008,Hodgkin's disease lymphocytic-histiocytic predominance of intrathoracic lymph nodes (disorder),CancerOfBloodOrBoneMarrow
qcovid_CongenitalHeartProbl,OPCS4,K052,Reconstruction of atrium using atrial wall for transposition of great arteries,CongenitalHeartProblem
qcovid_HivOrAids,ICD10,B218,HIV disease resulting in other malignant neoplasms,HivOrAids
qcovid_LungOrOralCancer,ICD10,C002,"Malignant neoplasm: External lip, unspecified",LungOrOralCancer
qcovid_LungOrOralCancer,ICD10,C112,Malignant neoplasm: Lateral wall of nasopharynx,LungOrOralCancer
qcovid_BipolarDiseaseOrSchi,ICD10,F310,"Bipolar affective disorder, current episode hypomanic",BipolarDiseaseOrSchizophrenia
qcovid_CoronaryHeartDisease,ICD10,I214,Acute subendocardial myocardial infarction,CoronaryHeartDisease
qcovid_StrokeOrTia,ICD10,I630,Cerebral infarction due to thrombosis of precerebral arteries,StrokeOrTia
qcovid_CysticFibrosisBronch,ICD10,J47,Bronchiectasis,CysticFibrosisBronchiectasisAlveolitis
qcovid_RheumatoidArthritisO,ICD10,M0605,Seronegative rheumatoid arthritis,RheumatoidArthritisOrSle
qcovid_RheumatoidArthritisO,ICD10,M0637,Rheumatoid nodule,RheumatoidArthritisOrSle
